时间_s,实验温度_C,模型温度_C,残差_C
90.0,38.99,38.991925856081316,0.0019258560813142367
91.0,39.03,39.02960858910506,-0.00039141089494165726
92.0,39.07,39.06723626627982,-0.002763733720179573
93.0,39.11,39.10480365994655,-0.00519634005345182
94.0,39.14,39.14230582487567,0.002305824875669771
95.0,39.18,39.17973808578491,-0.00026191421508769963
96.0,39.22,39.217096025300116,-0.0029039746998833493
97.0,39.26,39.25437547235359,-0.005624527646411082
98.0,39.29,39.29157249101349,0.0015724910134906622
99.0,39.33,39.32868336973667,-0.0013166302633251803
100.0,39.37,39.36570461103662,-0.0042953889633778886
101.0,39.4,39.40263292155707,0.0026329215570726205
102.0,39.44,39.439465202542095,-0.000534797457902414
103.0,39.48,39.476198540691804,-0.003801459308192534
104.0,39.52,39.51283019939384,-0.00716980060616379
105.0,39.55,39.54935761031913,-0.000642389680869826
106.0,39.59,39.58577836537162,-0.004221634628386539
107.0,39.62,39.622090208980254,0.0020902089802561363
108.0,39.66,39.65829103072268,-0.0017089692773168963
109.0,39.7,39.69437885826891,-0.005621141731090518
110.0,39.73,39.73035185063454,0.0003518506345443484
111.0,39.77,39.76620829173191,-0.003791708268096272
112.0,39.8,39.80194658420882,0.001946584208823765
113.0,39.84,39.837565243564036,-0.0024347564359672447
114.0,39.87,39.87306289252877,0.0030628925287743414
115.0,39.91,39.908438255704404,-0.0015617442955928595
116.0,39.95,39.94369015444598,-0.006309845554021365
117.0,39.98,39.978817501981716,-0.001182498018280853
118.0,40.02,40.01381929875923,-0.006180701240772635
119.0,40.05,40.04869462800887,-0.001305371991129789
120.0,40.09,40.0834426515152,-0.006557348484804493
121.0,40.12,40.11806260558825,-0.0019373944117475617
122.0,40.15,40.15255379722525,0.002553797225253618
123.0,40.19,40.1869156004556,-0.0030843995443987637
124.0,40.22,40.22114745286043,0.0011474528604296097
125.0,40.26,40.25524885225939,-0.004751147740606143
126.0,40.29,40.28921935355728,-0.0007806464427204673
127.0,40.32,40.323058565743324,0.003058565743323527
128.0,40.36,40.35676614903625,-0.003233850963752616
129.0,40.39,40.39034181216892,0.0003418121689193754
130.0,40.43,40.423785309805375,-0.00621469019462495
131.0,40.46,40.45709644008508,-0.00290355991491964
132.0,40.49,40.49027504228818,0.00027504228818031606
133.0,40.52,40.5233209946158,0.0033209946157981562
134.0,40.56,40.55623421208075,-0.0037657879192494192
135.0,40.59,40.58901464450287,-0.0009853554971357426
136.0,40.62,40.62166227460426,0.0016622746042642689
137.0,40.66,40.6541771161999,-0.005822883800099987
138.0,40.69,40.68655921247873,-0.0034407875212707495
139.0,40.72,40.71880863437119,-0.0011913656288058405
140.0,40.75,40.75092547899897,0.0009254789989725509
141.0,40.78,40.78290986820299,0.002909868202991106
142.0,40.82,40.814761947145776,-0.0052380528542244065
143.0,40.85,40.84648188298497,-0.003518117015033795
144.0,40.88,40.878069863613845,-0.001930136386157244
145.0,40.91,40.909526096466315,-0.00047390353368115257
146.0,40.94,40.94085080738283,0.0008508073828323859
147.0,40.97,40.97204423953414,0.002044239534143344
148.0,41.0,41.003106652400426,0.0031066524004259577
149.0,41.03,41.03403832080268,0.004038320802678186
150.0,41.07,41.06483953398396,-0.005160466016043586
151.0,41.1,41.095510594738016,-0.004489405261985269
152.0,41.13,41.12605181858308,-0.003948181416923546
153.0,41.16,41.15646353297796,-0.0035364670220374705
154.0,41.19,41.18674607657928,-0.0032539234207149548
155.0,41.22,41.21689979853702,-0.0031002014629777364
156.0,41.25,41.246925057826665,-0.003074942173334705
157.0,41.28,41.27682222261639,-0.003177777383612579
158.0,41.31,41.30659166966703,-0.003408330332973719
159.0,41.34,41.33623378376367,-0.0037662162363361062
160.0,41.37,41.36574895717691,-0.004251042823085527
161.0,41.4,41.39513758915243,-0.004862410847572107
162.0,41.42,41.42440008542735,0.004400085427349154
163.0,41.45,41.453536857772285,0.003536857772282076
164.0,41.48,41.48254832355729,0.002548323557292065
165.0,41.51,41.51143490534106,0.0014349053410640522
166.0,41.54,41.54019703048172,0.00019703048172203808
167.0,41.57,41.568835130768306,-0.0011648692316938991
168.0,41.6,41.597349642071975,-0.002650357928025926
169.0,41.63,41.62574100401568,-0.004258995984322667
170.0,41.65,41.65400965966158,0.004009659661583953
171.0,41.68,41.682156055215195,0.0021560552151953516
172.0,41.71,41.71018063974541,0.00018063974540893923
173.0,41.74,41.738083864919545,-0.0019161350804566268
174.0,41.77,41.76586618475274,-0.004133815247264749
175.0,41.79,41.79352805537088,0.0035280553708787465
176.0,41.82,41.82106993478634,0.001069934786336546
177.0,41.85,41.84849228268596,-0.0015077173140412015
178.0,41.88,41.87579556023056,-0.0042044397694454005
179.0,41.9,41.90298022986536,0.0029802298653649473
180.0,41.93,41.93004675514086,4.675514085761279e-05
181.0,41.96,41.956995600543564,-0.0030043994564366017
182.0,41.98,41.983827231335866,0.0038272313358689303
183.0,42.01,42.01054211340508,0.0005421134050820342
184.0,42.04,42.03714071312062,-0.0028592868793779758
185.0,42.06,42.063623497199174,0.0036234971991717657
186.0,42.09,42.08999093257754,-9.067422460873331e-06
187.0,42.12,42.11624348629241,-0.0037565137075858956
188.0,42.14,42.14238162536707,0.002381625367071649
189.0,42.17,42.16840581670443,-0.0015941832955732593
190.0,42.19,42.19431652698616,0.0043165269861589195
191.0,42.22,42.22011422257762,0.00011422257762205845
192.0,42.25,42.24579936943813,-0.004200630561868479
193.0,42.27,42.2713724330366,0.0013724330366002846
194.0,42.3,42.29683387827181,-0.0031661217281850895
195.0,42.32,42.32218416939759,0.0021841693975872545
196.0,42.35,42.34742376995214,-0.0025762300478646694
197.0,42.37,42.372553142691764,0.002553142691766652
198.0,42.4,42.39757274952836,-0.0024272504716407184
199.0,42.42,42.42248305147069,0.0024830514706906115
200.0,42.45,42.44728450856926,-0.002715491430741679
201.0,42.47,42.47197757986448,0.0019775798644801057
202.0,42.5,42.49656272333799,-0.003437276662012323
203.0,42.52,42.52104039586709,0.0010403958670863744
204.0,42.54,42.54541105318182,0.005411053181823888
205.0,42.57,42.569675149824995,-0.00032485017500505364
206.0,42.59,42.59383313911455,0.0038331391145476346
207.0,42.62,42.61788547310846,-0.0021145268915390147
208.0,42.64,42.64183260257189,0.0018326025718877759
209.0,42.67,42.66567497694648,-0.004325023053525001
210.0,42.69,42.689413044321704,-0.0005869556782940322
211.0,42.71,42.71304725140827,0.0030472514082688917
212.0,42.74,42.73657804351313,-0.003421956486874933
213.0,42.76,42.76000586451644,5.86451643869168e-06
214.0,42.78,42.78333115685008,0.0033311568500806743
215.0,42.81,42.80655436147774,-0.0034456385222654262
216.0,42.83,42.829675917876365,-0.0003240821236332181
217.0,42.85,42.85269626401929,0.002696264019292016
218.0,42.87,42.875615836360346,0.0056158363603486805
219.0,42.9,42.89843506981944,-0.0015649301805567006
220.0,42.92,42.92115439776926,0.0011543977692554108
221.0,42.94,42.943774252022955,0.003774252022957114
222.0,42.97,42.96629506282324,-0.003704937176756573
223.0,42.99,42.988717258832,-0.001282741168004975
224.0,43.01,43.01104126712122,0.0010412671212236546
225.0,43.03,43.033267513164674,0.003267513164672664
226.0,43.05,43.055396420830434,0.005396420830436455
227.0,43.08,43.077428412374196,-0.0025715876258018966
228.0,43.1,43.09936390843342,-0.0006360915665837297
229.0,43.12,43.121203328022034,0.0012033280220364873
230.0,43.14,43.142947088526,0.002947088525999675
231.0,43.16,43.164595605699354,0.0045956056993574634
232.0,43.19,43.18614929366095,-0.0038507063390511576
233.0,43.21,43.20760856489167,-0.0023914351083291763
234.0,43.23,43.22897383023237,-0.0010261697676270387
235.0,43.25,43.25024549888193,0.00024549888193092784
236.0,43.27,43.2714239783964,0.001423978396395853
237.0,43.29,43.29250967468789,0.002509674687892982
238.0,43.31,43.31350299202447,0.0035029920244653567
239.0,43.33,43.33440433303008,0.00440433303008092
240.0,43.35,43.35521409868509,0.005214098685087265
241.0,43.37,43.375932688327026,0.005932688327028757
242.0,43.4,43.396560499651684,-0.003439500348314084
243.0,43.42,43.417097928714625,-0.0029020712853764508
244.0,43.44,43.43754536993292,-0.002454630067077801
245.0,43.46,43.45790321608709,-0.0020967839129113486
246.0,43.48,43.47817185832353,-0.0018281416764693859
247.0,43.5,43.498351686156944,-0.0016483138430558597
248.0,43.52,43.518443087473116,-0.0015569125268868333
249.0,43.54,43.53844644853197,-0.0015535514680280471
250.0,43.56,43.558362153970684,-0.0016378460293182684
251.0,43.58,43.578190586807196,-0.0018094131928023671
252.0,43.6,43.5979321284436,-0.0020678715563988703
253.0,43.62,43.61758715867008,-0.002412841329920923
254.0,43.64,43.63715605566863,-0.002843944331367254
255.0,43.66,43.65663919601727,-0.0033608039827299763
256.0,43.67,43.676036954694126,0.006036954694124574
257.0,43.69,43.69534970508182,0.0053497050818194225
258.0,43.71,43.71457781897192,0.004577818971917225
259.0,43.73,43.733721666569394,0.0037216665693975415
260.0,43.75,43.752781616497536,0.0027816164975362767
261.0,43.77,43.77175803580238,0.001758035802374991
262.0,43.79,43.790651289957864,0.0006512899578652309
263.0,43.81,43.80946174287068,-0.0005382571293210958
264.0,43.83,43.82818975688525,-0.0018102431147468678
265.0,43.85,43.846835692788915,-0.0031643072110867365
266.0,43.86,43.8653999098171,0.005399909817100479
267.0,43.88,43.8838827656585,0.003882765658495657
268.0,43.9,43.902284616460456,0.0022846164604573005
269.0,43.92,43.92060581683427,0.0006058168342661929
270.0,43.94,43.93884671986063,-0.0011532801393698833
271.0,43.96,43.95700767709507,-0.0029923229049302336
272.0,43.97,43.9750890385734,0.005089038573402149
273.0,43.99,43.99309115281736,0.0030911528173547254
274.0,44.01,44.01101436684003,0.0010143668400317551
275.0,44.03,44.02885902615165,-0.001140973848350768
276.0,44.05,44.04662547476504,-0.0033745252349604016
277.0,44.06,44.064314055201365,0.004314055201362521
278.0,44.08,44.08192510849587,0.001925108495868244
279.0,44.1,44.09945897420339,-0.0005410257966147469
280.0,44.12,44.11691599040425,-0.00308400959574584
281.0,44.13,44.13429649370995,0.004296493709944116
282.0,44.15,44.151600819268886,0.0016008192688872214
283.0,44.17,44.16882930077212,-0.0011706992278845973
284.0,44.18,44.18598227045917,0.005982270459170991
285.0,44.2,44.20306005912376,0.0030600591237543995
286.0,44.22,44.22006299611957,6.299611957416573e-05
287.0,44.24,44.23699140936614,-0.0030085906338612745
288.0,44.25,44.25384562535455,0.0038456253545504637
289.0,44.27,44.27062596915326,0.0006259691532548572
290.0,44.29,44.28733276441385,-0.002667235586152117
291.0,44.3,44.30396633337684,0.003966333376844489
292.0,44.32,44.32052699687752,0.0005269968775181155
293.0,44.34,44.33701507435161,-0.0029849256483913678
294.0,44.35,44.35343088384124,0.0034308838412400178
295.0,44.37,44.36977474200044,-0.00022525799955985804
296.0,44.38,44.3860469641011,0.006046964101095398
297.0,44.4,44.402247864038735,0.0022478640387362248
298.0,44.42,44.418377754338096,-0.0016222456619061631
299.0,44.43,44.434436946159025,0.0044369461590250125
300.0,44.45,44.450425749302084,0.00042574930208161277
301.0,44.46,44.466344472214324,0.006344472214323105
302.0,44.48,44.48219342199504,0.0021934219950452416
303.0,44.5,44.49797290440132,-0.0020270955986774197
304.0,44.51,44.513683223853825,0.0036832238538266893
305.0,44.53,44.52932468344235,-0.000675316557654071
306.0,44.54,44.54489758493165,0.004897584931647714
307.0,44.56,44.5604022287669,0.00040222876689455234
308.0,44.57,44.57583891407936,0.005838914079362212
309.0,44.59,44.59120793869202,0.0012079386920191837
310.0,44.61,44.6065095991251,-0.0034904008749023774
311.0,44.62,44.621744190601724,0.0017441906017268138
312.0,44.64,44.636912007053354,-0.003087992946646523
313.0,44.65,44.65201334112547,0.002013341125469026
314.0,44.67,44.6670484841829,-0.0029515158171022904
315.0,44.68,44.68201772631553,0.0020177263155289893
316.0,44.7,44.69692135634352,-0.003078643656479585
317.0,44.71,44.71175966182305,0.0017596618230513172
318.0,44.73,44.72653292905158,-0.003467070948417472
319.0,44.74,44.74124144307335,0.0012414430733471704
320.0,44.75,44.75588548768475,0.005885487684750501
321.0,44.77,44.770465345439696,0.0004653454396930101
322.0,44.78,44.78498129765506,0.004981297655056949
323.0,44.8,44.79943362441594,-0.0005663755840572549
324.0,44.81,44.813822604581055,0.0038226045810532128
325.0,44.83,44.82814851578806,-0.0018514842119401465
326.0,44.84,44.84241163445874,0.0024116344587383765
327.0,44.86,44.856612235804334,-0.0033877641956649995
328.0,44.87,44.8707505938309,0.0007505938309009252
329.0,44.88,44.88482698134432,0.004826981344315584
330.0,44.9,44.898841669955644,-0.0011583300443547273
331.0,44.91,44.91279493008633,0.0027949300863312487
332.0,44.93,44.9266870309733,-0.003312969026701751
333.0,44.94,44.94051824067411,0.0005182406741113255
334.0,44.95,44.954288826072144,0.004288826072141205
335.0,44.97,44.96799905288166,-0.0020009471183399796
336.0,44.98,44.98164918565293,0.0016491856529299298
337.0,44.99,44.99523948777721,0.005239487777210172
338.0,45.01,45.008770221491915,-0.0012297785080832568
339.0,45.02,45.02224164788557,0.0022416478855689093
340.0,45.03,45.0356540269028,0.005654026902796261
341.0,45.05,45.04900761734939,-0.0009923826506081923
342.0,45.06,45.062302676897154,0.002302676897151912
343.0,45.07,45.07553946208897,0.005539462088968605
344.0,45.09,45.08871822834368,-0.0012817716563233716
345.0,45.1,45.10183922996095,0.001839229960950206
346.0,45.11,45.11490272012619,0.004902720126189308
347.0,45.13,45.12790895091543,-0.002091049084569363
348.0,45.14,45.14085817330015,0.000858173300152032
349.0,45.15,45.153750637152115,0.0037506371521160986
350.0,45.17,45.16658659124809,-0.0034134087519106515
351.0,45.18,45.17936628327475,-0.0006337167252468134
352.0,45.19,45.19208995983344,0.0020899598334409575
353.0,45.2,45.20475786644478,0.004757866444776937
354.0,45.22,45.21737024755355,-0.002629752446445366
355.0,45.23,45.22992734653324,-7.265346675922046e-05
356.0,45.24,45.242429405690885,0.002429405690882902
357.0,45.25,45.25487666627162,0.004876666271620422
358.0,45.27,45.26726936846338,-0.002730631536621786
359.0,45.28,45.279607751401485,-0.0003922485985157209
360.0,45.29,45.291892053173235,0.0018920531732362633
361.0,45.3,45.30412251082255,0.004122510822554659
362.0,45.31,45.316299360354584,0.0062993603545820065
363.0,45.33,45.32842283674002,-0.0015771632599808072
364.0,45.34,45.340493173919924,0.0004931739199207641
365.0,45.35,45.35251060480998,0.002510604809977224
366.0,45.36,45.364475361305196,0.004475361305196657
367.0,45.38,45.37638767428413,-0.003612325715870668
368.0,45.39,45.38824777361361,-0.0017522263863938292
369.0,45.4,45.40005588815297,5.5888152971306226e-05
370.0,45.41,45.4118122457585,0.0018122457585008078
371.0,45.42,45.42351707328788,0.0035170732878810895
372.0,45.43,45.43517059660451,0.005170596604507693
373.0,45.45,45.44677304058189,-0.003226959418114461
374.0,45.46,45.45832462910795,-0.0016753708920518307
375.0,45.47,45.46982558508936,-0.00017441491063863168
376.0,45.48,45.48127613045581,0.001276130455813984
377.0,45.49,45.492676486164314,0.002676486164311598
378.0,45.5,45.50402687220345,0.004026872203446885
379.0,45.51,45.51532750759765,0.005327507597648662
380.0,45.53,45.5265786104113,-0.003421389588702084
381.0,45.54,45.537780397753146,-0.0022196022468534693
382.0,45.55,45.54893308578028,-0.0010669142197201609
383.0,45.56,45.56003688970238,3.688970237902822e-05
384.0,45.57,45.57109202378594,0.0010920237859366466
385.0,45.58,45.58209870135828,0.0020987013582782765
386.0,45.59,45.59305713481173,0.003057134811726314
387.0,45.6,45.603967535607744,0.003967535607742434
388.0,45.61,45.61483011428087,0.004830114280871101
389.0,45.62,45.62564508044293,0.005645080442931771
390.0,45.64,45.63641264278702,-0.003587357212978759
391.0,45.65,45.647133009091505,-0.0028669909084939604
392.0,45.66,45.65780638622411,-0.0021936137758871155
393.0,45.67,45.66843298014578,-0.00156701985422103
394.0,45.68,45.67901299591473,-0.0009870040852675288
395.0,45.69,45.68954663769046,-0.00045336230953552104
396.0,45.7,45.70003410873758,3.410873758014077e-05
397.0,45.71,45.710475611429835,0.00047561142983454374
398.0,45.72,45.720871347253855,0.0008713472538559586
399.0,45.73,45.731221516813235,0.0012215168132385656
400.0,45.74,45.741526319832246,0.0015263198322443827
401.0,45.75,45.751785955159804,0.0017859551598036205
402.0,45.76,45.762000620773215,0.0020006207732166104
403.0,45.77,45.77217051378207,0.0021705137820688947
404.0,45.78,45.782295830432005,0.002295830432004209
405.0,45.79,45.79237676610842,0.0023767661084193037
406.0,45.8,45.80241351534044,0.0024135153404429843
407.0,45.81,45.81240627180449,0.0024062718044888243
408.0,45.82,45.822355228328064,0.0023552283280636743
409.0,45.83,45.83226057689351,0.002260576893512223
410.0,45.84,45.84212250864172,0.002122508641718923
411.0,45.85,45.851941213875705,0.0019412138757033404
412.0,45.86,45.86171688206447,0.0017168820644712923
413.0,45.87,45.87144970184646,0.0014497018464609823
414.0,45.88,45.88113986103333,0.0011398610333301917
415.0,45.89,45.89078754661359,0.0007875466135871534
416.0,45.9,45.90039294475608,0.00039294475607931645
417.0,45.91,45.909956240813635,-4.375918636156939e-05
418.0,45.92,45.9194776193267,-0.0005223806733027914
419.0,45.93,45.928957264026884,-0.0010427359731153274
420.0,45.94,45.938395357840406,-0.0016046421595916627
421.0,45.95,45.947792082891716,-0.0022079171082864946
422.0,45.96,45.95714762050703,-0.0028523794929711244
423.0,45.97,45.96646215121775,-0.003537848782251274
424.0,45.97,45.97573585476398,0.005735854763983639
425.0,45.98,45.984968910098,0.004968910098000379
426.0,45.99,45.994161495387736,0.004161495387734249
427.0,46.0,46.00331378802017,0.003313788020172126
428.0,46.01,46.012425964604766,0.0024259646047681827
429.0,46.02,46.02149820097688,0.0014982009768758076
430.0,46.03,46.03053067220115,0.0005306722011511056
431.0,46.04,46.0395235525749,-0.0004764474251004458
432.0,46.05,46.04847701563149,-0.001522984368506286
433.0,46.06,46.05739123414361,-0.002608765856393802
434.0,46.07,46.06626638012671,-0.0037336198732873527
435.0,46.07,46.07510262484223,0.005102624842230341
436.0,46.08,46.08390013880099,0.0039001388009936022
437.0,46.09,46.09265909176641,0.002659091766403776
438.0,46.1,46.10137965275779,0.00137965275779095
439.0,46.11,46.11006199005364,6.199005363782817e-05
440.0,46.12,46.11870627119483,-0.0012937288051659834
441.0,46.13,46.12731266298793,-0.0026873370120696904
442.0,46.13,46.13588133150828,0.005881331508277299
443.0,46.14,46.1444124421034,0.004412442103401304
444.0,46.15,46.15290615939598,0.0029061593959838206
445.0,46.16,46.16136264728715,0.0013626472871521855
446.0,46.17,46.1697820689597,-0.00021793104030365384
447.0,46.18,46.17816458688107,-0.0018354131189326495
448.0,46.19,46.18651036280665,-0.0034896371933470505
449.0,46.19,46.1948195577828,0.004819557782802519
450.0,46.2,46.20309233215001,0.00309233215000404
451.0,46.21,46.21132884554595,0.001328845545948809
452.0,46.22,46.2195292569086,-0.0004707430913981625
453.0,46.23,46.22769372447924,-0.0023062755207590158
454.0,46.23,46.235822405805585,0.00582240580558846
455.0,46.24,46.24391545774477,0.0039154577447675365
456.0,46.25,46.251973036466495,0.0019730364664951594
457.0,46.26,46.25999529745577,-4.702544231349748e-06
458.0,46.27,46.26798239551624,-0.002017604483761204
459.0,46.27,46.27593448477293,0.005934484772929238
460.0,46.28,46.2838517186754,0.0038517186753992405
461.0,46.29,46.29173425000052,0.0017342500005241845
462.0,46.3,46.29958223085558,-0.0004177691444198217
463.0,46.31,46.30739581268108,-0.002604187318922868
464.0,46.31,46.315175146253814,0.005175146253812102
465.0,46.32,46.322920381689684,0.002920381689683893
466.0,46.33,46.330631668446586,0.0006316684465872413
467.0,46.34,46.33830915532728,-0.0016908446727228466
468.0,46.35,46.34595299048241,-0.00404700951759196
469.0,46.35,46.353563321413134,0.0035633214131323143
470.0,46.36,46.361140294974135,0.0011402949741352586
471.0,46.37,46.36868405737645,-0.001315942623548949
472.0,46.38,46.37619475419018,-0.003805245809822111
473.0,46.38,46.38367253034736,0.0036725303473588156
474.0,46.39,46.391117530144854,0.0011175301448531627
475.0,46.4,46.398529897246966,-0.0014701027530321653
476.0,46.41,46.40590977468833,-0.004090225311664142
477.0,46.41,46.41325730487662,0.0032573048766266766
478.0,46.42,46.42057262959533,0.0005726295953252247
479.0,46.43,46.42785589000651,-0.002144109993487575
480.0,46.43,46.435107226653365,0.00510722665336516
481.0,46.44,46.442326779463286,0.0023267794632886307
482.0,46.45,46.449514687750096,-0.0004853122499071105
483.0,46.46,46.45667109021714,-0.0033289097828586023
484.0,46.46,46.46379612495977,0.0037961249597699975
485.0,46.47,46.47088992946804,0.0008899294680446701
486.0,46.48,46.47795264062932,-0.0020473593706782367
487.0,46.48,46.484984394731036,0.004984394731039288
488.0,46.49,46.49198532746321,0.001985327463209785
489.0,46.5,46.49895557392113,-0.0010444260788702309
490.0,46.51,46.50589526860797,-0.00410473139202594
491.0,46.51,46.51280454543728,0.002804545437278705
492.0,46.52,46.51968353773564,-0.00031646226436521374
493.0,46.53,46.52653237824538,-0.003467621754623451
494.0,46.53,46.53335119912681,0.003351199126811366
495.0,46.54,46.540140131961074,0.00014013196107498516
496.0,46.55,46.54689930775254,-0.0031006922474574594
497.0,46.55,46.55362885693138,0.0036288569313853714
498.0,46.56,46.560328909356045,0.00032890935604257265
499.0,46.57,46.56699959431579,-0.003000405684211671
500.0,46.57,46.57364104053322,0.0036410405332176765
501.0,46.58,46.58025337616665,0.0002533761666541068
502.0,46.59,46.58683672881271,-0.0031632711872902064
503.0,46.59,46.593391225508796,0.0033912255087926724
504.0,46.6,46.599916992735395,-8.300726460674923e-05
505.0,46.61,46.6064141564186,-0.0035858435813977962
506.0,46.61,46.612882841932645,0.0028828419326458743
507.0,46.62,46.61932317410212,-0.0006768258978766539
508.0,46.63,46.62573527720457,-0.004264722795433329
509.0,46.63,46.632119274972766,0.0021192749727632076
510.0,46.64,46.63847529059713,-0.001524709402872304
511.0,46.64,46.644803446728176,0.004803446728175231
512.0,46.65,46.65110386547879,0.0011038654787896007
513.0,46.66,46.65737666842655,-0.002623331573445853
514.0,46.66,46.66362197661623,0.0036219766162304268
515.0,46.67,46.66983991056201,-0.00016008943799050712
516.0,46.68,46.676030590249866,-0.003969409750133934
517.0,46.68,46.68219413513978,0.0021941351397813946
518.0,46.69,46.688330664168205,-0.0016693358317922957
519.0,46.69,46.694440295750226,0.004440295750228529
520.0,46.7,46.70052314778192,0.0005231477819194197
521.0,46.71,46.70657933764255,-0.003420662357449089
522.0,46.71,46.712608982196976,0.0026089821969748073
523.0,46.72,46.71861219779776,-0.0013878022022382197
524.0,46.72,46.72458910028747,0.004589100287468284
525.0,46.73,46.73053980500094,0.0005398050009404187
526.0,46.74,46.736464426767455,-0.0035355732325470512
527.0,46.74,46.74236307991297,0.0023630799129676916
528.0,46.75,46.74823587826239,-0.001764121737608093
529.0,46.75,46.75408293514165,0.0040829351416533655
530.0,46.76,46.75990436337997,-9.563662003131412e-05
531.0,46.77,46.765700275312014,-0.004299724687989226
532.0,46.77,46.77147078278011,0.001470782780110369
533.0,46.78,46.77721599713631,-0.002784002863691626
